wall,ls,paper_ls,drift_target,drift_reached,reached_ok,theta_base_opt_mrad,theta_base_modelA_mrad,theta_base_modelB_mrad,sh_frac_opt,sh_frac_modelA,sh_frac_modelB,u_top_opt_mm,disp_tp_mm
PUP5,12,13,0.09395,0.09379228336785304,True,0.730417401058851,0.7712589318001705,0.7658322844797117,0.5263450935034855,0.579031672947297,0.6613674663886548,-1.9663882360742457,2.08467
PUP5,13,14,-0.09589,-0.09579508337644273,True,-0.7497581844522718,-0.8284067333283932,-0.8265294938089964,0.8860848434397033,0.6038546474626406,0.7477462858319233,1.8999613793103616,-2.12774
PUP5,14,15,0.14134,0.1412261870696631,True,1.0801159622540422,1.2546953341869187,1.253189244343533,0.5006723298589603,0.6449588608437606,0.7638345814133759,-2.9389166976127123,3.13629
PUP5,15,16,-0.14055,-0.14069038927179248,True,-1.153951178140159,-1.3073350929237997,-1.3088411299136,0.9616445793072388,0.6026199735726733,0.8217790146603283,2.815294456233433,-3.11885
PUP5,16,17,0.13993,0.13943190868424096,True,1.0617861978811585,1.2924595613530925,1.2930360063224595,0.5253692045711451,0.9697862114966345,0.9677807140512941,-2.9092659283819566,3.10499
PUP5,17,18,-0.14047,-0.13997998827438132,True,-1.1509009556994347,-1.3483696036707293,-1.3520741064412762,0.9634173843994943,0.5105021949311875,0.8145738929903242,2.8181867639257367,-3.11696
PUP5,18,19,0.1903,0.19022427009734155,True,1.455273011079592,1.8214449153572216,1.8241459428063296,0.5863085783799237,0.7157350812515167,0.88903397379562,-3.9476993899204085,4.22265
PUP5,19,20,-0.18259,-0.18225763094991268,True,-1.5303550000061812,-1.7805582952110022,-1.7860641122454006,0.9112727296859997,0.45967271588951547,0.7460177658033754,3.6775306100795713,-4.05153
PUP5,20,21,0.18843,0.18820467101681648,True,1.4326858738378774,1.829595504615036,1.8322202506383753,0.6159610884767244,0.6271604299236807,0.912750517998631,-3.9115786206896574,4.18116
PUP5,21,22,-0.18132,-0.1811673855146044,True,-1.5181553462653699,-1.771998762389721,-1.7788179169140657,0.9362968154491161,0.4155142967240857,0.737247428960071,3.655725994694976,-4.02344
PUP5,22,23,0.23325,0.23338085554738972,True,1.8003783562312017,2.30950175053533,2.31184359402182,0.6848358978779014,0.5148106127999906,0.8316650828537492,-4.841808620689641,5.17568
PUP5,23,24,-0.22911,-0.22909963244189613,True,-1.9462278103220902,-2.2458403094145876,-2.2543900451212053,0.7189308502665872,0.25555366563814447,0.8762650649248855,4.631595610079586,-5.08395
PUP5,24,25,0.2349,0.23436788950188944,True,1.8027050616658384,2.3397695132474468,2.3412364943716364,0.6634046450572297,0.48861671732244716,0.8759415700660065,-4.878484774535791,5.21224
PUP5,25,26,-0.23077,-0.23053798439629508,True,-1.9564235229791072,-2.2587186361805616,-2.2675876569120623,0.7037652145973546,0.23657944935573333,0.9405637356006971,4.670018687002667,-5.12075
PUP5,26,27,0.28002,0.27978368663976627,True,2.1797029352057447,2.8133819191221616,2.8150338808646795,0.6936197180501519,0.34490483696283575,0.6196698781276685,-5.809854774535779,6.21354
PUP5,27,28,-0.27411,-0.27418841037962216,True,-2.345367502829748,-2.6911638736772634,-2.7013670249412924,0.79508869892908,0.22369032895622173,0.9099394182781617,5.552557533156512,-6.08246
PUP5,28,29,0.2816,0.28131408298321825,True,2.1785745715005054,2.8453558853061662,2.846680294235248,0.7084129978457541,0.05137427417267019,0.13584989166401729,-5.844060928381949,6.2487
PUP5,29,30,-0.27348,-0.27350746896829026,True,-2.3361921764961817,-2.684396750025501,-2.6946421445345945,0.7466080683578875,0.21671680442565303,0.948047196438366,5.545260225464209,-6.0684
PUP5,30,31,0.36988,0.3693799379637879,True,2.9567373215733515,3.737468973494507,3.7397000371618954,0.7886632116700583,0.10332708971571185,0.18578857476455665,-7.66966438992041,8.20754
PUP5,31,32,-0.36393,-0.36360295389200437,True,-3.156722607788787,-3.576874991953293,-3.589961335271104,0.67379981584867,0.21163569168098728,0.9268796310879841,7.3935679177719,-8.0755
PUP5,32,33,0.37138,0.3708939898353842,True,2.951317616263879,3.7532562076815923,3.7558493952054666,0.8177277639820648,0.11428931833005201,0.24562323773047645,-7.706793236074265,8.24074
PUP5,33,34,-0.36198,-0.3621349509419242,True,-3.129716573378441,-3.5608324743799757,-3.5739637975102814,0.6636874771799798,0.21081774974599704,0.9276934597420643,7.360107148541131,-8.03212
PUP5,34,35,0.56322,0.5632624549680152,True,4.212374212258677,5.691484746517761,5.696920972043099,0.4071939642229471,0.08726236996775114,0.3471312345462154,-11.300973236074272,12.49759
PUP5,35,36,-0.53781,-0.5376155453012628,True,-4.996375731537185,-5.304096023977086,-5.323094542043397,0.6037715194620874,0.19459750307151374,0.3742352608811987,11.189364456233427,-11.93378
PUP5,36,37,0.58362,0.5834639185881951,True,3.8291328419317145,5.892020903645997,5.899326912449816,0.7424182054972801,0.053850168404744186,0.3869126783203924,-11.07421823607427,12.95031
PUP5,37,38,-0.54227,-0.5417410368713074,True,-5.037667520566208,-5.337538613909607,-5.3574160793645325,0.915155872165589,0.1836081605822765,0.2862774674309319,12.026331763925734,-12.03277
